image_path,detected_objects,max_confidence,image_category
data/raw/images/lobelia4cosmetics/21986.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21987.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21988.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21989.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21990.jpg,bottle,0.8075851202011108,product_listing
data/raw/images/lobelia4cosmetics/21991.jpg,bottle,0.7726439237594604,product_listing
data/raw/images/lobelia4cosmetics/21992.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21993.jpg,scissors,0.5893494486808777,unclassified
data/raw/images/lobelia4cosmetics/21994.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21995.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21996.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21997.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21998.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/21999.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22000.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22001.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22002.jpg,"hot dog, hot dog",0.5860731601715088,unclassified
data/raw/images/lobelia4cosmetics/22003.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22004.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22005.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22006.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22007.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22008.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22009.jpg,person,0.5967599749565125,lifestyle_shot
data/raw/images/lobelia4cosmetics/22010.jpg,cup,0.5273937582969666,unclassified
data/raw/images/lobelia4cosmetics/22011.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22012.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22013.jpg,banana,0.7397515773773193,unclassified
data/raw/images/lobelia4cosmetics/22014.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22015.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22016.jpg,"bottle, bottle",0.9156719446182251,product_listing
data/raw/images/lobelia4cosmetics/22017.jpg,bottle,0.8690327405929565,product_listing
data/raw/images/lobelia4cosmetics/22018.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22019.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22020.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22021.jpg,bottle,0.9375599026679993,product_listing
data/raw/images/lobelia4cosmetics/22022.jpg,bottle,0.9479014277458191,product_listing
data/raw/images/lobelia4cosmetics/22023.jpg,bottle,0.5596919655799866,product_listing
data/raw/images/lobelia4cosmetics/22026.jpg,"person, person, person",0.889441728591919,lifestyle_shot
data/raw/images/lobelia4cosmetics/22029.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22030.jpg,bottle,0.7326316237449646,product_listing
data/raw/images/lobelia4cosmetics/22031.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22032.jpg,person,0.7900387644767761,lifestyle_shot
data/raw/images/lobelia4cosmetics/22033.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22034.jpg,"person, refrigerator",0.8406544327735901,lifestyle_shot
data/raw/images/lobelia4cosmetics/22035.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22036.jpg,bottle,0.8006813526153564,product_listing
data/raw/images/lobelia4cosmetics/22037.jpg,bottle,0.570781409740448,product_listing
data/raw/images/lobelia4cosmetics/22038.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22039.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22040.jpg,bottle,0.5016918182373047,product_listing
data/raw/images/lobelia4cosmetics/22041.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22042.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22043.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22044.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22045.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22046.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22047.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22048.jpg,person,0.624140202999115,lifestyle_shot
data/raw/images/lobelia4cosmetics/22049.jpg,person,0.6789193153381348,lifestyle_shot
data/raw/images/lobelia4cosmetics/22050.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22051.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22052.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22053.jpg,bottle,0.8075851202011108,product_listing
data/raw/images/lobelia4cosmetics/22054.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22055.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22056.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22057.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22058.jpg,bottle,0.570781409740448,product_listing
data/raw/images/lobelia4cosmetics/22059.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22060.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22061.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22062.jpg,,0.0,unclassified
